name,address,type
th08::AnmManager::SetCameraMode,0x40ba90,function
th08::AnmManager::SetMixColorDefault,0x40bab0,function
th08::AnmManager::SetMixColor,0x40bad0,function
th08::AnmManager::Draw2DAndFlush,0x40baf0,function
th08::AnmManager::ResetFrameDebugInfo,0x40bb20,function
th08::AnmManager::GetAnm,0x40bb60,function
th08::GameManager::IsTampered,0x40bb80,function
th08::Player::IsHuman,0x40bc20,function
th08::Player::IsYoukai,0x40bc40,function
FUN_0040bc60,0x40bc60,function
FUN_0040be30,0x40be30,function
FUN_0040bf00,0x40bf00,function
FUN_0040c010,0x40c010,function
FUN_0040c7b0,0x40c7b0,function
D3DXVECTOR3::operator/,0x40c7d0,function
FUN_0040c820,0x40c820,function
FUN_0040c910,0x40c910,function
FUN_0040d010,0x40d010,function
FUN_0040d100,0x40d100,function
FUN_0040d310,0x40d310,function
th08::Rng::GetRandomF32InRange,0x40d390,function
th08::ZunTimer::operator_int,0x40d3b0,function
FUN_0040d3d0,0x40d3d0,function
th08::ZunTimer::operator==,0x40d3f0,function
th08::ZunTimer::operator%,0x40d410,function
FUN_0040d430,0x40d430,function
FUN_0040d950,0x40d950,function
FUN_0040d970,0x40d970,function
FUN_0040dee0,0x40dee0,function
FUN_0040e040,0x40e040,function
FUN_0040e120,0x40e120,function
FUN_0040e200,0x40e200,function
FUN_0040e2d0,0x40e2d0,function
FUN_0040e350,0x40e350,function
th08::ZunTimer::operator<=,0x40e390,function
FUN_0040e3b0,0x40e3b0,function
FUN_0040e610,0x40e610,function
FUN_0040e780,0x40e780,function
FUN_0040eb50,0x40eb50,function
FUN_0040ebc0,0x40ebc0,function
th08::AnmVm::SetZRotation,0x40ec00,function
FUN_0040ec30,0x40ec30,function
FUN_0040eca0,0x40eca0,function
FUN_0040ed50,0x40ed50,function
FUN_0040eda0,0x40eda0,function
FUN_0040ee10,0x40ee10,function
FUN_0040f550,0x40f550,function
FUN_0040f570,0x40f570,function
FUN_0040fcb0,0x40fcb0,function
FUN_0040fcd0,0x40fcd0,function
FUN_00410300,0x410300,function
FUN_004103f0,0x4103f0,function
FUN_00410a70,0x410a70,function
FUN_00410ac0,0x410ac0,function
FUN_00410bb0,0x410bb0,function
th08::Rng::GetRandomU16InRange,0x410c00,function
FUN_00410c40,0x410c40,function
FUN_00410fe0,0x410fe0,function
FUN_004113a0,0x4113a0,function
